id,incident_id,operator_id,region_id,raw_data_id,title,description,status,severity,start_time,end_time,estimated_fix_time,location,latitude,longitude,affected_services,created_at,updated_at,place
3,TRE-824575,2,20,3,"{""sv"": ""TRE-824575"", ""en"": ""TRE-824575""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-15 00:00:00.000000,2026-03-17T22:11:07.587119,2025-12-15 04:00:00.000000,Norrbottens län,66.8274871196893,20.38205580713796,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9GR2R9GJ+XR
4,TRE-0AD2F8,2,17,4,"{""sv"": ""TRE-0AD2F8"", ""en"": ""TRE-0AD2F8""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-15 00:01:00.000000,2026-03-17T22:11:07.587119,2025-12-15 06:00:00.000000,Västernorrlands län,62.60850959096046,17.89524812005738,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9FJVJV5W+C3
5,TRE-FD9EF9,2,20,5,"{""sv"": ""TRE-FD9EF9"", ""en"": ""TRE-FD9EF9""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-15 00:01:00.000000,2026-03-17T22:11:07.587119,2025-12-15 06:00:00.000000,Norrbottens län,66.863863016596,20.35710973278988,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9GR2V974+GR
9,TRE-E313B8,2,2,9,"{""sv"": ""TRE-E313B8"", ""en"": ""TRE-E313B8""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-16 11:00:00.000000,2026-03-17T22:11:07.587119,2025-12-16 20:00:00.000000,Västra Götalands län,57.9881877642036,13.0260554164644,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9F9MX2QG+7C
12,TRE-D43047,2,2,12,"{""sv"": ""TRE-D43047"", ""en"": ""TRE-D43047""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-17 11:00:00.000000,2026-03-17T22:11:07.587119,2025-12-17 20:00:00.000000,Västra Götalands län,58.00319565444824,12.97781298173482,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9FCJ2X3H+74
14,TRE-EB66AF,2,8,14,"{""sv"": ""TRE-EB66AF"", ""en"": ""TRE-EB66AF""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-17 00:00:00.000000,2026-03-17T22:11:07.587119,2025-12-17 12:00:00.000000,Kalmar län,56.65476854929963,16.409130633245752,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9F8RMC35+WM
15,TRE-62A543,2,5,15,"{""sv"": ""TRE-62A543"", ""en"": ""TRE-62A543""}","{""sv"": ""Under denna period kan man uppleva problem med t\u00e4ckningen i ovan omr\u00e5de."", ""en"": ""During this period, you may experience coverage issues in the above area.""}",resolved,medium,2025-12-17 00:00:00.000000,2026-03-17T22:11:07.587119,2025-12-17 06:00:00.000000,Östergötlands län,58.449809807239745,15.64667960805723,"[""4g"", ""5g""]",2025-12-27 08:42:11,2026-03-19 11:09:26,9FCQCJXW+WM
83,INCSE0424369,1,8,138,"{""sv"": ""INCSE0424369"", ""en"": ""INCSE0424369""}","{""sv"": ""Incident ID: INCSE0424369"", ""en"": ""incident id: incse0424369""}",resolved,medium,2025-12-27 21:20:00.000000,2025-12-28 11:12:00.000000,,Kalmar län,56.7066856,16.3433006,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-19 11:09:26," Vänskapens väg 6, 393 60, Sverige"
84,INCSE0425061,1,8,140,"{""sv"": ""INCSE0425061"", ""en"": ""INCSE0425061""}","{""sv"": ""Incident ID: INCSE0425061"", ""en"": ""incident id: incse0425061""}",resolved,medium,2025-12-27 21:20:00.000000,2025-12-29 14:55:00.000000,,Kalmar län,56.7066856,16.3433006,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-19 11:09:26," Vänskapens väg 6, 393 60, Sverige"
85,INCSE0424841,1,18,125,"{""sv"": ""INCSE0424841"", ""en"": ""INCSE0424841""}","{""sv"": ""Incident ID: INCSE0424841"", ""en"": ""incident id: incse0424841""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Jämtlands län,63.0013125,16.5471875,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 14:25:39," 2G2W+GV Sel, Sverige"
86,INCSE0375087,1,1,129,"{""sv"": ""INCSE0375087"", ""en"": ""INCSE0375087""}","{""sv"": ""Incident ID: INCSE0375087"", ""en"": ""incident id: incse0375087""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Stockholms län,59.3360861,18.0718987,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 14:26:51," Kungsgatan 1, 111 43, Sverige"
87,INCSE0424931,1,13,144,"{""sv"": ""INCSE0424931"", ""en"": ""INCSE0424931""}","{""sv"": ""Incident ID: INCSE0424931"", ""en"": ""incident id: incse0424931""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,"Visby, 621 45",57.6379361,18.297982,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 15:17:41," CPM9+8X Karlsdal, Sverige"
88,INCSE0418951,1,21,137,"{""sv"": ""INCSE0418951"", ""en"": ""INCSE0418951""}","{""sv"": ""Incident ID: INCSE0418951"", ""en"": ""incident id: incse0418951""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Södermanlands län,59.3716875,16.505187499999998,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:48:00,9FFR9GC4+M3
89,INCSE0425351,1,10,132,"{""sv"": ""INCSE0425351"", ""en"": ""INCSE0425351""}","{""sv"": ""Incident ID: INCSE0425351"", ""en"": ""incident id: incse0425351""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Blekinge län,56.050687499999995,14.587187499999999,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:48:33,9F8P3H2P+7V
90,INCSE0424277,1,2,118,"{""sv"": ""INCSE0424277"", ""en"": ""INCSE0424277""}","{""sv"": ""Incident ID: INCSE0424277"", ""en"": ""incident id: incse0424277""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Västra Götalands län,58.312937500000004,12.3330625,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:48:56,9FCJ887M+56
91,INCSE0425305,1,9,131,"{""sv"": ""INCSE0425305"", ""en"": ""INCSE0425305""}","{""sv"": ""Incident ID: INCSE0425305"", ""en"": ""incident id: incse0425305""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Gotlands län,57.6379375,18.2979375,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:49:12,9F9WJ7QX+55
92,INCSE0425250,1,2,148,"{""sv"": ""INCSE0425250"", ""en"": ""INCSE0425250""}","{""sv"": ""Incident ID: INCSE0425250"", ""en"": ""incident id: incse0425250""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Västra Götalands län,58.4166875,12.2333125,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:49:22,9FCJC68M+M8
93,INCSE0424894,1,2,135,"{""sv"": ""INCSE0424894"", ""en"": ""INCSE0424894""}","{""sv"": ""Incident ID: INCSE0424894"", ""en"": ""incident id: incse0424894""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Västra Götalands län,57.72106249999999,12.9400625,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:49:44,9F9JPWCR+C2
94,INCSE0423706,1,1,139,"{""sv"": ""INCSE0423706"", ""en"": ""INCSE0423706""}","{""sv"": ""Incident ID: INCSE0423706"", ""en"": ""incident id: incse0423706""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Stockholms län,59.3250625,18.0710625,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:49:58,9FFW83GC+2C
95,INCSE0425201,1,1,146,"{""sv"": ""INCSE0425201"", ""en"": ""INCSE0425201""}","{""sv"": ""Fault INCSE0425201 has been found, although it was resolved a long time ago and is considered obsolete. "", ""en"": ""fault incse0425201 has been found, although it was resolved a long time ago and is considered obsolete. ""}",resolved,medium,2025-12-27 22:20:00.000000,2025-12-28 10:10:00.000000,,"Sharper of Sweden, 411 16",57.703233,11.96563,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-19 11:09:26," Kungsgatan 1, 111 43, Sverige"
96,INCSE0342620,1,17,133,"{""sv"": ""INCSE0342620"", ""en"": ""INCSE0342620""}","{""sv"": ""Incident ID: INCSE0342620"", ""en"": ""incident id: incse0342620""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Västernorrlands län,62.390812499999996,17.3069375,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:50:34,9FJV98R4+8Q
97,INCSE0411855,1,1,134,"{""sv"": ""INCSE0411855"", ""en"": ""INCSE0411855""}","{""sv"": ""Incident ID: INCSE0411855"", ""en"": ""incident id: incse0411855""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Stockholms län,59.2166875,18.333312499999998,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:50:24,9FFW688M+M8
98,INCSE0424222,1,1,141,"{""sv"": ""INCSE0424222"", ""en"": ""INCSE0424222""}","{""sv"": ""Incident ID: INCSE0424222"", ""en"": ""incident id: incse0424222""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Stockholms län,59.4293125,17.9500625,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 17:06:58,9FFVCXH2+P2
99,INCSE0418257,1,1,120,"{""sv"": ""INCSE0418257"", ""en"": ""INCSE0418257""}","{""sv"": ""Incident ID: INCSE0418257"", ""en"": ""incident id: incse0418257""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Stockholms län,59.3948125,18.666062500000002,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:50:57,9FFW9MV8+WC
100,INCSE0425212,1,4,127,"{""sv"": ""INCSE0425212"", ""en"": ""INCSE0425212""}","{""sv"": ""Incident ID: INCSE0425212"", ""en"": ""incident id: incse0425212""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Uppsala län,59.858562500000005,17.638687500000003,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:51:07,9FFVVJ5Q+CF
101,INCSE0408937,1,20,136,"{""sv"": ""INCSE0408937"", ""en"": ""INCSE0408937""}","{""sv"": ""Just nu kan du uppleva st\u00f6rningar i mobiln\u00e4tet som bland annat p\u00e5verkar samtal, surf och andra mobila tj\u00e4nster."", ""en"": ""Just nu kan du uppleva st\u00f6rningar i mobiln\u00e4tet som bland annat p\u00e5verkar samtal, surf och andra mobila tj\u00e4nster.""}",resolved,medium,2025-12-10T19:00:32+01:00,2026-03-21 18:33:39.938579,2026-03-20T13:44:46+01:00,Norrbottens län,66.96178930081814,20.38925171182237,"[""4g""]",2025-12-27 23:20:01,2026-03-21 18:33:39.938579,9GR2V9XQ+XP
102,INCSE0425200,1,1,117,"{""sv"": ""INCSE0425200"", ""en"": ""INCSE0425200""}","{""sv"": ""Incident ID: INCSE0425200"", ""en"": ""incident id: incse0425200""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Stockholms län,59.3293125,18.0685625,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:51:17,9FFW83H9+PC
103,INCSE0382662,1,19,123,"{""sv"": ""INCSE0382662"", ""en"": ""INCSE0382662""}","{""sv"": ""P\u00e5 grund av ett kabelfel i ditt omr\u00e5de kan du uppleva st\u00f6rningar i mobiln\u00e4tet som p\u00e5verkar samtal, surf och andra mobila tj\u00e4nster."", ""en"": ""Due to a cable fault in your area, you may experience mobile network disruptions affecting calls, data, and other mobile services.""}",resolved,medium,2025-11-09 04:20:00.000000,2026-03-27 16:00:00.000000,2026-03-27 15:00:00.000000,Västerbottens län,65.85238535933638,16.518974303251643,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-04-09 23:10:27.134602,9FQRVG29+XH
104,INCSE0425089,1,21,128,"{""sv"": ""INCSE0425089"", ""en"": ""INCSE0425089""}","{""sv"": ""Incident ID: INCSE0425089"", ""en"": ""incident id: incse0425089""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Södermanlands län,58.9600625,17.5333125,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:51:29,9FCVXG6M+28
105,INCSE0417331,1,13,149,"{""sv"": ""INCSE0417331"", ""en"": ""INCSE0417331""}","{""sv"": ""Incident ID: INCSE0417331"", ""en"": ""incident id: incse0417331""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Örebro län,59.2746875,15.2150625,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:51:39,9FFQ76F8+V2
106,INCSE0424847,1,11,124,"{""sv"": ""INCSE0424847"", ""en"": ""INCSE0424847""}","{""sv"": ""Incident ID: INCSE0424847"", ""en"": ""incident id: incse0424847""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Hallands län,56.7165625,12.8201875,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:51:48,9F8JPR8C+J3
107,INCSE0403082,1,3,121,"{""sv"": ""INCSE0403082"", ""en"": ""INCSE0403082""}","{""sv"": ""Incident ID: INCSE0403082"", ""en"": ""incident id: incse0403082""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Skåne län,55.847187500000004,13.6339375,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:51:56,9F7MRJWM+VH
108,INCSE0424922,1,16,130,"{""sv"": ""INCSE0424922"", ""en"": ""INCSE0424922""}","{""sv"": ""Incident ID: INCSE0424922"", ""en"": ""incident id: incse0424922""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Gävleborgs län,61.268187499999996,16.6889375,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:52:05,9FHR7M9Q+7H
109,INCSE0425048,1,20,119,"{""sv"": ""INCSE0425048"", ""en"": ""INCSE0425048""}","{""sv"": ""Incident ID: INCSE0425048"", ""en"": ""incident id: incse0425048""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Norrbottens län,66.9811875,19.999187499999998,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:52:15,9FRXXXJX+FM
110,INCSE0424535,1,6,142,"{""sv"": ""INCSE0424535"", ""en"": ""INCSE0424535""}","{""sv"": ""Incident ID: INCSE0424535"", ""en"": ""incident id: incse0424535""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Jönköpings län,57.2773125,14.3838125,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:52:25,9F9P79GM+WG
111,INCSE0424836,1,3,143,"{""sv"": ""INCSE0424836"", ""en"": ""INCSE0424836""}","{""sv"": ""Incident ID: INCSE0424836"", ""en"": ""incident id: incse0424836""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Skåne län,55.847187500000004,13.6339375,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:52:35,9F7MRJWM+VH
112,INCSE0424929,1,17,122,"{""sv"": ""INCSE0424929"", ""en"": ""INCSE0424929""}","{""sv"": ""Incident ID: INCSE0424929"", ""en"": ""incident id: incse0424929""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Västernorrlands län,62.2440625,16.8094375,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:52:45,9FJR6RV5+JQ
113,INCSE0425211,1,14,145,"{""sv"": ""INCSE0425211"", ""en"": ""INCSE0425211""}","{""sv"": ""Incident ID: INCSE0425211"", ""en"": ""incident id: incse0425211""}",resolved,medium,2025-12-27 22:20:00.000000,2026-03-09 23:00:00.000000,,Västmanlands län,59.61106249999999,16.5463125,"[""4g"", ""5g""]",2025-12-27 23:20:01,2026-03-20 16:52:55,9FFRJG6W+CG
