# Proposed Geocoding for Tre Missing Coordinates
# Total Incidents: 171
----------------------------------------------------------------------------------------------------
Incident ID     | Location                  | Latitude     | Longitude    | Plus Code      
----------------------------------------------------------------------------------------------------
TRE-DC56D6      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-69DA96      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-813B3E      | Västra Götalands län      | 58.224551    | 12.652219    | 9FCJ6MF2+RV    
TRE-E1F484      | Östergötlands län         | 58.367812    | 16.046385    | 9FCR929W+4H    
TRE-9DDE44      | Norrbottens län           | 66.981210    | 19.999164    | 9FRXXXJX+FM    
TRE-B1844F      | Västernorrlands län       | 63.047826    | 18.101444    | 9FMW24X2+4H    
TRE-5A8A2C      | Norrbottens län           | 66.981210    | 19.999164    | 9FRXXXJX+FM    
TRE-103627      | Gävleborgs län            | 61.268224    | 16.688925    | 9FHR7M9Q+7H    
TRE-1C8D17      | Västra Götalands län      | 58.224551    | 12.652219    | 9FCJ6MF2+RV    
TRE-97A952      | Västra Götalands län      | 58.224551    | 12.652219    | 9FCJ6MF2+RV    
TRE-A8F0E8      | Västra Götalands län      | 58.224551    | 12.652219    | 9FCJ6MF2+RV    
TRE-BF2DF0      | Västerbottens län         | 64.728204    | 18.553451    | 9FPWPHH3+79    
TRE-0FF3ED      | Västra Götalands län      | 58.224551    | 12.652219    | 9FCJ6MF2+RV    
TRE-73C60F      | Kalmar län                | 57.026266    | 16.574984    | 9F9R2HGF+GX    
TRE-077284      | Östergötlands län         | 58.367812    | 16.046385    | 9FCR929W+4H    
TRE-6789AC      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-1DD292      | Stockholms län            | 59.394865    | 18.666007    | 9FFW9MV8+WC    
TRE-DD1FA2      | Stockholms län            | 59.394865    | 18.666007    | 9FFW9MV8+WC    
TRE-0E9F89      | Skåne län                 | 55.847230    | 13.633929    | 9F7MRJWM+VH    
TRE-FC4677      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-C88C6E      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-D13001      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-CE570F      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-9849DD      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-240F09      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-6955BE      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-1DFDA5      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-955AA6      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-336D20      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-F7D8B7      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-0073A6      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-8E7CAA      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-105F2F      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-924DDC      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-644184      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-8B2B9F      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-17C7EA      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-EDB2F1      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-48798B      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-C963D9      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-09290B      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
TRE-9FBC9F      | Sverige                   | 59.674971    | 14.520858    | 9FFPMGFC+X8    
